animal_type,complaint_type,suburb,year_quarter,animal,complaint
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Cat,Private Impound,Kelso,2020.2,Cat,Private Impound
Dog,Private Impound,Kelso,2020.2,Dog,Private Impound
Dog,Private Impound,Kelso,2020.2,Dog,Private Impound
Dog,Private Impound,Kelso,2020.2,Dog,Private Impound
Dog,Private Impound,Kelso,2020.2,Dog,Private Impound
Dog,Wandering,Kelso,2020.2,Dog,Wandering
Dog,Wandering,Kelso,2020.2,Dog,Wandering
Dog,Wandering,Kelso,2020.2,Dog,Wandering
Dog,Aggressive Animal,Rasmussen,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Rasmussen,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Rasmussen,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Rasmussen,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Rasmussen,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Rasmussen,2020.2,Dog,Aggressive Animal
Dog,Attack,Rasmussen,2020.2,Dog,Attack
Dog,Attack,Rasmussen,2020.2,Dog,Attack
Dog,Attack,Rasmussen,2020.2,Dog,Attack
Dog,Attack,Rasmussen,2020.2,Dog,Attack
Cat,Enclosure,Rasmussen,2020.2,Cat,Enclosure
Dog,Enclosure,Rasmussen,2020.2,Dog,Enclosure
Dog,Enclosure,Rasmussen,2020.2,Dog,Enclosure
Dog,Enclosure,Rasmussen,2020.2,Dog,Enclosure
Dog,Enclosure,Rasmussen,2020.2,Dog,Enclosure
Dog,Enclosure,Rasmussen,2020.2,Dog,Enclosure
Dog,Enclosure,Rasmussen,2020.2,Dog,Enclosure
Dog,Noise,Rasmussen,2020.2,Dog,Noise
Dog,Noise,Rasmussen,2020.2,Dog,Noise
Dog,Noise,Rasmussen,2020.2,Dog,Noise
Dog,Noise,Rasmussen,2020.2,Dog,Noise
Dog,Noise,Rasmussen,2020.2,Dog,Noise
Dog,Noise,Rasmussen,2020.2,Dog,Noise
Dog,Private Impound,Rasmussen,2020.2,Dog,Private Impound
Dog,Private Impound,Rasmussen,2020.2,Dog,Private Impound
Dog,Wandering,Rasmussen,2020.2,Dog,Wandering
Dog,Wandering,Rasmussen,2020.2,Dog,Wandering
Dog,Wandering,Rasmussen,2020.2,Dog,Wandering
Dog,Aggressive Animal,Cranbrook,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Cranbrook,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Cranbrook,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Cranbrook,2020.2,Dog,Aggressive Animal
Cat,Enclosure,Cranbrook,2020.2,Cat,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Enclosure,Cranbrook,2020.2,Dog,Enclosure
Dog,Noise,Cranbrook,2020.2,Dog,Noise
Cat,Private Impound,Cranbrook,2020.2,Cat,Private Impound
Dog,Private Impound,Cranbrook,2020.2,Dog,Private Impound
Dog,Wandering,Cranbrook,2020.2,Dog,Wandering
Dog,Aggressive Animal,Kirwan,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Kirwan,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Kirwan,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Kirwan,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Kirwan,2020.2,Dog,Aggressive Animal
Dog,Attack,Kirwan,2020.2,Dog,Attack
Cat,Enclosure,Kirwan,2020.2,Cat,Enclosure
Cat,Enclosure,Kirwan,2020.2,Cat,Enclosure
Cat,Enclosure,Kirwan,2020.2,Cat,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Cat,Private Impound,Kirwan,2020.2,Cat,Private Impound
Dog,Private Impound,Kirwan,2020.2,Dog,Private Impound
Dog,Private Impound,Kirwan,2020.2,Dog,Private Impound
Dog,Attack,Mount Louisa,2020.2,Dog,Attack
Dog,Attack,Mount Louisa,2020.2,Dog,Attack
Dog,Enclosure,Mount Louisa,2020.2,Dog,Enclosure
Dog,Noise,Mount Louisa,2020.2,Dog,Noise
Dog,Private Impound,Mount Louisa,2020.2,Dog,Private Impound
Dog,Aggressive Animal,Thuringowa Central,2020.2,Dog,Aggressive Animal
Dog,Enclosure,Thuringowa Central,2020.2,Dog,Enclosure
Dog,Enclosure,Thuringowa Central,2020.2,Dog,Enclosure
Dog,Enclosure,Thuringowa Central,2020.2,Dog,Enclosure
Dog,Enclosure,Thuringowa Central,2020.2,Dog,Enclosure
Dog,Noise,Thuringowa Central,2020.2,Dog,Noise
Dog,Noise,Thuringowa Central,2020.2,Dog,Noise
Dog,Noise,Thuringowa Central,2020.2,Dog,Noise
Dog,Noise,Thuringowa Central,2020.2,Dog,Noise
Dog,Noise,Thuringowa Central,2020.2,Dog,Noise
Cat,Private Impound,Thuringowa Central,2020.2,Cat,Private Impound
Dog,Private Impound,Thuringowa Central,2020.2,Dog,Private Impound
Dog,Private Impound,Thuringowa Central,2020.2,Dog,Private Impound
Dog,Private Impound,Thuringowa Central,2020.2,Dog,Private Impound
Dog,Aggressive Animal,Annandale,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Annandale,2020.2,Dog,Aggressive Animal
Dog,Attack,Annandale,2020.2,Dog,Attack
Dog,Enclosure,Annandale,2020.2,Dog,Enclosure
Dog,Noise,Annandale,2020.2,Dog,Noise
Dog,Noise,Annandale,2020.2,Dog,Noise
Dog,Noise,Annandale,2020.2,Dog,Noise
Dog,Noise,Annandale,2020.2,Dog,Noise
Cat,Private Impound,Annandale,2020.2,Cat,Private Impound
Dog,Private Impound,Annandale,2020.2,Dog,Private Impound
Dog,Private Impound,Annandale,2020.2,Dog,Private Impound
Dog,Wandering,Annandale,2020.2,Dog,Wandering
Dog,Aggressive Animal,Condon,2020.2,Dog,Aggressive Animal
Cat,Enclosure,Condon,2020.2,Cat,Enclosure
Dog,Noise,Condon,2020.2,Dog,Noise
Dog,Noise,Condon,2020.2,Dog,Noise
Dog,Private Impound,Condon,2020.2,Dog,Private Impound
Dog,Private Impound,Condon,2020.2,Dog,Private Impound
Dog,Enclosure,Douglas,2020.2,Dog,Enclosure
Dog,Noise,Douglas,2020.2,Dog,Noise
Dog,Noise,Douglas,2020.2,Dog,Noise
Dog,Noise,Douglas,2020.2,Dog,Noise
Dog,Noise,Douglas,2020.2,Dog,Noise
Dog,Noise,Douglas,2020.2,Dog,Noise
Cat,Private Impound,Douglas,2020.2,Cat,Private Impound
Cat,Private Impound,Douglas,2020.2,Cat,Private Impound
Cat,Private Impound,Douglas,2020.2,Cat,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Private Impound,Douglas,2020.2,Dog,Private Impound
Dog,Wandering,Douglas,2020.2,Dog,Wandering
Dog,Wandering,Douglas,2020.2,Dog,Wandering
Dog,Wandering,Douglas,2020.2,Dog,Wandering
Cat,Private Impound,Thuringowa Central,2020.2,Cat,Private Impound
Dog,Private Impound,Thuringowa Central,2020.2,Dog,Private Impound
Dog,Private Impound,Thuringowa Central,2020.2,Dog,Private Impound
Dog,Private Impound,Thuringowa Central,2020.2,Dog,Private Impound
Dog,Private Impound,Thuringowa Central,2020.2,Dog,Private Impound
Dog,Wandering,Thuringowa Central,2020.2,Dog,Wandering
Dog,Aggressive Animal,Cosgrove,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Cosgrove,2020.2,Dog,Aggressive Animal
Dog,Enclosure,Cosgrove,2020.2,Dog,Enclosure
Dog,Noise,Cosgrove,2020.2,Dog,Noise
Dog,Noise,Cosgrove,2020.2,Dog,Noise
Dog,Noise,Cosgrove,2020.2,Dog,Noise
Cat,Private Impound,Cosgrove,2020.2,Cat,Private Impound
Cat,Private Impound,Cosgrove,2020.2,Cat,Private Impound
Dog,Aggressive Animal,Heatley,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Heatley,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Heatley,2020.2,Dog,Aggressive Animal
Dog,Attack,Heatley,2020.2,Dog,Attack
Dog,Attack,Heatley,2020.2,Dog,Attack
Cat,Enclosure,Heatley,2020.2,Cat,Enclosure
Dog,Enclosure,Heatley,2020.2,Dog,Enclosure
Dog,Enclosure,Heatley,2020.2,Dog,Enclosure
Dog,Enclosure,Heatley,2020.2,Dog,Enclosure
Dog,Enclosure,Heatley,2020.2,Dog,Enclosure
Dog,Enclosure,Heatley,2020.2,Dog,Enclosure
Dog,Enclosure,Heatley,2020.2,Dog,Enclosure
Dog,Enclosure,Heatley,2020.2,Dog,Enclosure
Dog,Enclosure,Heatley,2020.2,Dog,Enclosure
Dog,Enclosure,Heatley,2020.2,Dog,Enclosure
Dog,Enclosure,Heatley,2020.2,Dog,Enclosure
Dog,Noise,Heatley,2020.2,Dog,Noise
Dog,Noise,Heatley,2020.2,Dog,Noise
Dog,Noise,Heatley,2020.2,Dog,Noise
Dog,Noise,Heatley,2020.2,Dog,Noise
Dog,Wandering,Heatley,2020.2,Dog,Wandering
Dog,Wandering,Heatley,2020.2,Dog,Wandering
Dog,Wandering,Heatley,2020.2,Dog,Wandering
Dog,Wandering,Heatley,2020.2,Dog,Wandering
Dog,Wandering,Heatley,2020.2,Dog,Wandering
Dog,Aggressive Animal,Kirwan,2020.2,Dog,Aggressive Animal
Dog,Attack,Kirwan,2020.2,Dog,Attack
Dog,Attack,Kirwan,2020.2,Dog,Attack
Cat,Enclosure,Kirwan,2020.2,Cat,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Enclosure,Kirwan,2020.2,Dog,Enclosure
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Dog,Noise,Kirwan,2020.2,Dog,Noise
Cat,Private Impound,Kirwan,2020.2,Cat,Private Impound
Cat,Private Impound,Kirwan,2020.2,Cat,Private Impound
Dog,Private Impound,Kirwan,2020.2,Dog,Private Impound
Dog,Private Impound,Kirwan,2020.2,Dog,Private Impound
Dog,Private Impound,Kirwan,2020.2,Dog,Private Impound
Dog,Private Impound,Kirwan,2020.2,Dog,Private Impound
Dog,Private Impound,Kirwan,2020.2,Dog,Private Impound
Dog,Private Impound,Kirwan,2020.2,Dog,Private Impound
Dog,Private Impound,Kirwan,2020.2,Dog,Private Impound
